X,Y,OBJECTID,ROWID_,DAY_OF_WEEK,HOLIDAY,WEEK_OF_YEAR,MONTH_OF_YEAR,ISSUE_TIME,VIOLATION_CODE,VIOLATION_DESCRIPTION,LOCATION,RP_PLATE_STATE,BODY_STYLE,ADDRESS_ID,STREETSEGID,XCOORD,YCOORD,TICKET_ISSUE_DATE
-77.081962859699999,38.935865522900002,1842578,,,,,,,P344,VEHICLE ON PRIVATE/PUBLIC PROPERTY WITHOUT CONSENT,4201 MASSACHUSETTS AV NW,DC,,294461,9593,392894,140889,2017-09-17T22:37:00.000Z
-77.081962859699999,38.935865522900002,1842579,,,,,,,P344,VEHICLE ON PRIVATE/PUBLIC PROPERTY WITHOUT CONSENT,4201 MASSACHUSETTS AV NW,MI,,294461,9593,392894,140889,2017-09-17T22:40:00.000Z
-77.081962859699999,38.935865522900002,1842580,,,,,,,P344,VEHICLE ON PRIVATE/PUBLIC PROPERTY WITHOUT CONSENT,4201 MASSACHUSETTS AV NW,DC,,294461,9593,392894,140889,2017-09-17T22:50:00.000Z
-77.081962859699999,38.935865522900002,1842581,,,,,,,P344,VEHICLE ON PRIVATE/PUBLIC PROPERTY WITHOUT CONSENT,4201 MASSACHUSETTS AV NW,NJ,,294461,9593,392894,140889,2017-09-17T22:51:00.000Z
-77.081962859699999,38.935865522900002,1842582,,,,,,,P344,VEHICLE ON PRIVATE/PUBLIC PROPERTY WITHOUT CONSENT,4201 MASSACHUSETTS AV NW,NJ,,294461,9593,392894,140889,2017-09-17T23:00:00.000Z
-77.081962859699999,38.935865522900002,1842583,,,,,,,P344,VEHICLE ON PRIVATE/PUBLIC PROPERTY WITHOUT CONSENT,4201 MASSACHUSETTS AV NW,CT,,294461,9593,392894,140889,2017-09-17T23:03:00.000Z
-77.081962859699999,38.935865522900002,1842584,,,,,,,P344,VEHICLE ON PRIVATE/PUBLIC PROPERTY WITHOUT CONSENT,4201 MASSACHUSETTS AV NW,TX,,294461,9593,392894,140889,2017-09-17T23:05:00.000Z
-77.021679495599997,38.875905644600003,1842379,,,,,,,P344,VEHICLE ON PRIVATE/PUBLIC PROPERTY WITHOUT CONSENT,600 WATER ST SW,DE,,276680,10366,398119,134230,2017-09-07T07:26:00.000Z
-77.021679495599997,38.875905644600003,1842380,,,,,,,P344,VEHICLE ON PRIVATE/PUBLIC PROPERTY WITHOUT CONSENT,600 WATER ST SW,DE,,276680,10366,398119,134230,2017-09-12T08:05:00.000Z
-77.021679495599997,38.875905644600003,1842381,,,,,,,P344,VEHICLE ON PRIVATE/PUBLIC PROPERTY WITHOUT CONSENT,600 WATER ST SW,NY,,276680,10366,398119,134230,2017-09-14T07:28:00.000Z
